child_id,absent_days,unexcused_absent_days,late_days,attendance_rate,max_consecutive_absent_days,absence_days_last_14d,absence_days_last_30d,monday_friday_absences,synthetic_pattern,expected_anomaly_flag
CH-20271,0,0,2,1.0,0,0,0,0,normal,0
CH-20140,3,1,0,0.9538,1,0,1,1,normal,0
CH-20057,1,0,3,0.9846,0,1,1,1,normal,0
CH-20192,4,1,2,0.9385,1,0,0,0,normal,0
CH-20024,2,1,2,0.9692,1,0,1,1,normal,0
CH-20017,3,1,0,0.9538,0,1,2,0,normal,0
CH-20265,1,0,0,0.9846,1,1,1,0,normal,0
CH-20066,0,0,3,1.0,0,0,0,0,normal,0
CH-20208,4,0,3,0.9385,0,0,2,1,normal,0
CH-20479,14,12,0,0.7846,3,4,7,5,sudden_spike,1
CH-20094,3,0,0,0.9538,0,1,1,0,normal,0
CH-20253,1,0,1,0.9846,1,0,1,0,normal,0
CH-20266,4,1,3,0.9385,2,0,1,1,normal,0
CH-20023,3,1,1,0.9538,2,1,1,1,normal,0
CH-20222,4,1,1,0.9385,2,1,2,0,normal,0
CH-20261,0,0,2,1.0,0,0,0,0,normal,0
CH-20426,8,1,5,0.8769,2,1,2,4,mild_irregular,0
CH-20005,3,0,3,0.9538,1,0,1,0,normal,0
CH-20116,3,1,0,0.9538,1,1,2,0,normal,0
CH-20045,0,0,2,1.0,0,0,0,0,normal,0
CH-20016,0,0,3,1.0,0,0,0,0,normal,0
CH-20462,9,6,9,0.8615,6,1,8,6,frequent_unexcused_absence,1
CH-20357,5,3,7,0.9231,2,2,4,2,mild_irregular,0
CH-20003,4,1,3,0.9385,2,1,2,0,normal,0
CH-20218,4,0,0,0.9385,2,0,0,1,normal,0
CH-20405,8,3,5,0.8769,1,2,2,2,mild_irregular,0
CH-20060,0,0,1,1.0,0,0,0,0,normal,0
CH-20110,3,0,1,0.9538,2,1,2,1,normal,0
CH-20318,0,0,3,1.0,0,0,0,0,normal,0
CH-20428,4,2,4,0.9385,1,0,4,1,mild_irregular,0
CH-20029,2,1,3,0.9692,2,1,1,0,normal,0
CH-20437,11,9,2,0.8308,5,6,6,8,frequent_unexcused_absence,1
CH-20471,11,8,3,0.8308,2,5,5,7,frequent_unexcused_absence,1
CH-20026,1,0,3,0.9846,1,0,0,1,normal,0
CH-20007,4,0,3,0.9385,2,0,1,0,normal,0
CH-20453,18,12,3,0.7231,2,4,8,10,frequent_unexcused_absence,1
CH-20108,2,0,1,0.9692,1,0,1,0,normal,0
CH-20037,4,0,3,0.9385,0,1,2,0,normal,0
CH-20157,0,0,1,1.0,0,0,0,0,normal,0
CH-20489,12,8,6,0.8154,3,7,11,2,sudden_spike,1
CH-20118,4,0,2,0.9385,1,1,2,1,normal,0
CH-20114,1,1,2,0.9846,1,1,1,1,normal,0
CH-20175,0,0,3,1.0,0,0,0,0,normal,0
CH-20373,8,3,4,0.8769,3,3,5,1,mild_irregular,0
CH-20181,2,1,0,0.9692,2,0,2,0,normal,0
CH-20144,3,1,0,0.9538,0,0,0,0,normal,0
CH-20369,6,1,6,0.9077,2,2,5,4,mild_irregular,0
CH-20390,7,3,7,0.8923,3,3,5,2,mild_irregular,0
CH-20195,3,0,2,0.9538,1,1,1,1,normal,0
CH-20404,6,3,5,0.9077,1,3,5,4,mild_irregular,0
CH-20275,1,0,3,0.9846,0,1,1,1,normal,0
CH-20454,15,15,3,0.7692,4,1,9,4,frequent_unexcused_absence,1
CH-20141,0,0,2,1.0,0,0,0,0,normal,0
CH-20365,5,1,4,0.9231,3,3,5,3,mild_irregular,0
CH-20067,4,0,2,0.9385,0,0,1,1,normal,0
CH-20210,0,0,2,1.0,0,0,0,0,normal,0
CH-20168,2,0,2,0.9692,1,1,2,1,normal,0
CH-20493,18,10,2,0.7231,4,6,13,7,sudden_spike,1
CH-20375,7,2,7,0.8923,1,2,4,3,mild_irregular,0
CH-20400,6,1,5,0.9077,2,0,4,1,mild_irregular,0
CH-20272,3,1,2,0.9538,0,1,2,0,normal,0
CH-20109,2,0,2,0.9692,0,0,1,0,normal,0
CH-20248,3,0,0,0.9538,2,0,1,0,normal,0
CH-20145,4,1,3,0.9385,2,1,1,0,normal,0
CH-20092,4,0,3,0.9385,2,1,1,0,normal,0
CH-20152,3,1,3,0.9538,2,1,2,0,normal,0
CH-20367,6,2,7,0.9077,1,1,4,1,mild_irregular,0
CH-20467,10,10,7,0.8462,6,3,10,8,frequent_unexcused_absence,1
CH-20083,0,0,1,1.0,0,0,0,0,normal,0
CH-20245,0,0,3,1.0,0,0,0,0,normal,0
CH-20165,2,1,3,0.9692,1,0,1,1,normal,0
CH-20163,0,0,3,1.0,0,0,0,0,normal,0
CH-20199,2,0,0,0.9692,1,1,2,1,normal,0
CH-20228,4,1,2,0.9385,1,0,1,0,normal,0
CH-20074,4,1,0,0.9385,2,0,2,1,normal,0
CH-20478,9,7,5,0.8615,5,7,8,8,sudden_spike,1
CH-20358,6,3,6,0.9077,1,2,4,3,mild_irregular,0
CH-20250,4,0,0,0.9385,0,1,1,0,normal,0
CH-20119,4,1,0,0.9385,0,1,2,0,normal,0
CH-20310,3,0,0,0.9538,0,0,2,1,normal,0
CH-20299,0,0,3,1.0,0,0,0,0,normal,0
CH-20255,4,0,0,0.9385,1,0,2,1,normal,0
CH-20354,4,1,7,0.9385,3,3,4,1,mild_irregular,0
CH-20399,5,3,4,0.9231,2,2,5,3,mild_irregular,0
CH-20225,2,1,1,0.9692,2,1,2,1,normal,0
CH-20353,4,2,6,0.9385,3,2,3,3,mild_irregular,0
CH-20234,4,0,0,0.9385,1,0,2,1,normal,0
CH-20382,8,1,8,0.8769,2,0,5,1,mild_irregular,0
CH-20274,0,0,2,1.0,0,0,0,0,normal,0
CH-20036,1,1,1,0.9846,1,0,0,1,normal,0
CH-20196,4,0,1,0.9385,1,1,2,1,normal,0
CH-20139,0,0,0,1.0,0,0,0,0,normal,0
CH-20364,7,1,3,0.8923,3,1,4,1,mild_irregular,0
CH-20244,3,0,1,0.9538,0,0,0,1,normal,0
CH-20439,20,6,7,0.6923,2,6,10,10,frequent_unexcused_absence,1
CH-20286,0,0,0,1.0,0,0,0,0,normal,0
CH-20059,4,0,3,0.9385,2,0,0,1,normal,0
CH-20111,4,0,3,0.9385,0,0,1,1,normal,0
CH-20089,0,0,3,1.0,0,0,0,0,normal,0
CH-20436,18,11,4,0.7231,4,5,12,10,frequent_unexcused_absence,1
CH-20006,0,0,2,1.0,0,0,0,0,normal,0
CH-20360,5,3,5,0.9231,2,1,2,1,mild_irregular,0
CH-20346,3,1,0,0.9538,2,1,2,1,normal,0
CH-20338,1,0,1,0.9846,1,0,0,0,normal,0
CH-20158,4,1,1,0.9385,1,1,1,1,normal,0
CH-20150,3,1,2,0.9538,0,1,1,0,normal,0
CH-20177,2,0,2,0.9692,0,0,2,1,normal,0
CH-20393,8,1,4,0.8769,1,1,3,2,mild_irregular,0
CH-20184,3,1,1,0.9538,0,1,1,0,normal,0
CH-20449,10,8,3,0.8462,2,6,9,4,frequent_unexcused_absence,1
CH-20010,0,0,2,1.0,0,0,0,0,normal,0
CH-20380,4,1,5,0.9385,2,3,3,1,mild_irregular,0
CH-20103,1,1,1,0.9846,1,1,1,1,normal,0
CH-20081,4,0,2,0.9385,0,1,2,1,normal,0
CH-20038,3,0,0,0.9538,0,0,2,0,normal,0
CH-20314,2,0,3,0.9692,0,1,2,0,normal,0
CH-20167,1,0,1,0.9846,0,0,0,0,normal,0
CH-20469,20,15,3,0.6923,6,3,10,9,frequent_unexcused_absence,1
CH-20296,3,1,3,0.9538,1,0,1,1,normal,0
CH-20474,20,15,3,0.6923,3,4,10,10,frequent_unexcused_absence,1
CH-20198,4,0,1,0.9385,1,0,2,1,normal,0
CH-20297,0,0,2,1.0,0,0,0,0,normal,0
CH-20416,4,1,7,0.9385,1,0,4,1,mild_irregular,0
CH-20146,4,0,0,0.9385,2,1,2,1,normal,0
CH-20392,6,1,8,0.9077,1,0,3,4,mild_irregular,0
CH-20147,0,0,3,1.0,0,0,0,0,normal,0
CH-20447,13,12,6,0.8,4,2,9,8,frequent_unexcused_absence,1
CH-20287,4,1,3,0.9385,0,1,2,0,normal,0
CH-20123,3,1,1,0.9538,0,1,1,1,normal,0
CH-20368,5,3,8,0.9231,2,1,3,3,mild_irregular,0
CH-20096,4,1,2,0.9385,2,1,2,1,normal,0
CH-20143,4,1,3,0.9385,0,0,2,0,normal,0
CH-20239,3,1,3,0.9538,1,0,2,0,normal,0
CH-20442,18,16,4,0.7231,6,6,12,5,frequent_unexcused_absence,1
CH-20097,0,0,1,1.0,0,0,0,0,normal,0
CH-20407,7,2,5,0.8923,3,1,4,2,mild_irregular,0
CH-20122,2,0,2,0.9692,1,1,2,1,normal,0
CH-20183,1,1,2,0.9846,0,0,1,0,normal,0
CH-20202,2,0,0,0.9692,1,1,1,0,normal,0
CH-20246,2,0,2,0.9692,2,0,0,0,normal,0
CH-20305,2,0,1,0.9692,0,1,2,1,normal,0
CH-20298,3,1,2,0.9538,2,1,2,0,normal,0
CH-20351,6,2,3,0.9077,3,2,3,2,mild_irregular,0
CH-20386,7,3,6,0.8923,1,3,3,4,mild_irregular,0
CH-20395,8,3,3,0.8769,1,1,4,3,mild_irregular,0
CH-20284,0,0,0,1.0,0,0,0,0,normal,0
CH-20125,3,1,1,0.9538,2,1,1,1,normal,0
CH-20302,2,1,1,0.9692,0,0,2,1,normal,0
CH-20223,3,1,1,0.9538,1,0,0,1,normal,0
CH-20418,4,2,8,0.9385,1,1,2,2,mild_irregular,0
CH-20219,1,1,1,0.9846,0,1,1,1,normal,0
CH-20129,1,0,2,0.9846,0,1,1,1,normal,0
CH-20420,7,2,4,0.8923,3,3,3,4,mild_irregular,0
CH-20289,3,1,1,0.9538,2,1,2,0,normal,0
CH-20444,18,7,6,0.7231,3,4,6,10,frequent_unexcused_absence,1
CH-20376,5,1,4,0.9231,2,2,3,2,mild_irregular,0
CH-20291,1,1,1,0.9846,0,1,1,0,normal,0
CH-20355,8,2,4,0.8769,3,2,4,2,mild_irregular,0
CH-20294,4,0,0,0.9385,2,0,2,1,normal,0
CH-20396,8,2,4,0.8769,1,0,1,4,mild_irregular,0
CH-20340,0,0,1,1.0,0,0,0,0,normal,0
CH-20112,4,0,2,0.9385,0,1,2,1,normal,0
CH-20179,4,1,3,0.9385,1,0,2,0,normal,0
CH-20307,1,1,0,0.9846,0,0,0,1,normal,0
CH-20432,14,14,7,0.7846,3,3,7,8,frequent_unexcused_absence,1
CH-20487,12,12,0,0.8154,4,8,9,3,sudden_spike,1
CH-20481,11,6,5,0.8308,2,7,9,3,sudden_spike,1
CH-20422,7,2,3,0.8923,1,3,5,4,mild_irregular,0
CH-20233,4,1,2,0.9385,1,1,1,0,normal,0
CH-20311,4,0,1,0.9385,1,0,2,0,normal,0
CH-20164,1,0,1,0.9846,1,0,1,1,normal,0
CH-20136,1,1,1,0.9846,0,0,0,0,normal,0
CH-20197,1,1,1,0.9846,1,0,1,0,normal,0
CH-20258,0,0,3,1.0,0,0,0,0,normal,0
CH-20232,3,1,1,0.9538,1,0,2,1,normal,0
CH-20115,0,0,3,1.0,0,0,0,0,normal,0
CH-20120,0,0,2,1.0,0,0,0,0,normal,0
CH-20349,0,0,1,1.0,0,0,0,0,normal,0
CH-20224,4,1,0,0.9385,2,0,2,0,normal,0
CH-20402,4,1,4,0.9385,1,3,3,2,mild_irregular,0
CH-20397,5,3,6,0.9231,2,1,5,1,mild_irregular,0
CH-20127,1,1,1,0.9846,1,0,0,0,normal,0
CH-20285,0,0,2,1.0,0,0,0,0,normal,0
CH-20411,4,2,3,0.9385,1,1,3,3,mild_irregular,0
CH-20107,0,0,1,1.0,0,0,0,0,normal,0
CH-20370,7,2,5,0.8923,1,3,5,4,mild_irregular,0
CH-20325,3,0,1,0.9538,0,0,2,1,normal,0
CH-20133,4,1,2,0.9385,0,0,1,1,normal,0
CH-20452,17,12,3,0.7385,5,5,5,6,frequent_unexcused_absence,1
CH-20044,2,0,1,0.9692,1,0,2,0,normal,0
CH-20460,17,11,4,0.7385,4,6,8,3,frequent_unexcused_absence,1
CH-20065,1,0,3,0.9846,1,0,0,0,normal,0
CH-20283,2,0,1,0.9692,1,1,2,1,normal,0
CH-20085,3,1,3,0.9538,2,1,2,0,normal,0
CH-20242,1,0,1,0.9846,1,0,1,1,normal,0
CH-20186,4,1,2,0.9385,0,1,1,1,normal,0
CH-20383,6,3,4,0.9077,1,1,5,1,mild_irregular,0
CH-20159,4,1,1,0.9385,0,0,2,1,normal,0
CH-20012,3,1,2,0.9538,1,1,1,0,normal,0
CH-20035,1,1,0,0.9846,0,0,0,1,normal,0
CH-20028,1,1,1,0.9846,0,1,1,0,normal,0
CH-20170,2,0,1,0.9692,1,1,2,0,normal,0
CH-20142,4,1,0,0.9385,0,0,1,0,normal,0
CH-20398,4,2,5,0.9385,2,2,3,2,mild_irregular,0
CH-20342,2,1,0,0.9692,2,1,1,1,normal,0
CH-20221,3,1,2,0.9538,2,0,0,0,normal,0
CH-20095,2,1,2,0.9692,2,0,2,0,normal,0
CH-20051,2,1,1,0.9692,0,0,1,1,normal,0
CH-20240,4,1,2,0.9385,2,0,2,1,normal,0
CH-20484,15,12,5,0.7692,2,9,9,6,sudden_spike,1
CH-20378,4,2,3,0.9385,1,1,2,4,mild_irregular,0
CH-20178,0,0,1,1.0,0,0,0,0,normal,0
CH-20041,3,1,1,0.9538,0,1,1,1,normal,0
CH-20498,8,5,1,0.8769,3,5,7,5,sudden_spike,1
CH-20421,7,1,7,0.8923,1,0,1,2,mild_irregular,0
CH-20206,3,0,3,0.9538,0,0,1,1,normal,0
CH-20282,0,0,1,1.0,0,0,0,0,normal,0
CH-20254,4,1,1,0.9385,0,1,1,0,normal,0
CH-20412,7,3,3,0.8923,2,0,1,1,mild_irregular,0
CH-20004,4,0,2,0.9385,1,0,2,1,normal,0
CH-20256,0,0,0,1.0,0,0,0,0,normal,0
CH-20448,20,14,7,0.6923,6,3,12,5,frequent_unexcused_absence,1
CH-20100,2,0,0,0.9692,0,0,2,1,normal,0
CH-20226,1,1,1,0.9846,1,0,0,1,normal,0
CH-20429,7,3,3,0.8923,2,2,3,3,mild_irregular,0
CH-20213,0,0,0,1.0,0,0,0,0,normal,0
CH-20171,4,1,3,0.9385,2,1,2,0,normal,0
CH-20098,0,0,3,1.0,0,0,0,0,normal,0
CH-20292,3,1,2,0.9538,1,0,2,0,normal,0
CH-20215,1,0,0,0.9846,0,1,1,0,normal,0
CH-20061,2,1,3,0.9692,0,1,1,1,normal,0
CH-20047,1,1,2,0.9846,0,0,0,1,normal,0
CH-20032,3,1,1,0.9538,2,0,2,1,normal,0
CH-20267,4,0,1,0.9385,1,1,1,1,normal,0
CH-20327,2,0,1,0.9692,0,0,2,1,normal,0
CH-20200,3,0,0,0.9538,0,0,0,0,normal,0
CH-20446,16,16,9,0.7538,4,3,5,3,frequent_unexcused_absence,1
CH-20027,0,0,3,1.0,0,0,0,0,normal,0
CH-20424,4,1,5,0.9385,1,1,2,4,mild_irregular,0
CH-20230,0,0,0,1.0,0,0,0,0,normal,0
CH-20260,0,0,0,1.0,0,0,0,0,normal,0
CH-20288,2,1,1,0.9692,2,1,2,1,normal,0
CH-20162,3,0,3,0.9538,1,0,0,1,normal,0
CH-20425,4,2,8,0.9385,3,3,3,4,mild_irregular,0
CH-20138,4,0,3,0.9385,2,0,2,1,normal,0
CH-20062,4,1,0,0.9385,2,0,1,0,normal,0
CH-20135,2,0,0,0.9692,1,1,2,0,normal,0
CH-20128,4,0,0,0.9385,2,1,1,1,normal,0
CH-20476,8,8,0,0.8769,2,4,7,5,sudden_spike,1
CH-20008,3,1,1,0.9538,0,1,1,1,normal,0
CH-20326,0,0,2,1.0,0,0,0,0,normal,0
CH-20463,9,9,9,0.8615,4,5,6,8,frequent_unexcused_absence,1
CH-20064,1,1,0,0.9846,1,1,1,0,normal,0
CH-20300,4,1,3,0.9385,2,1,2,0,normal,0
CH-20014,0,0,2,1.0,0,0,0,0,normal,0
CH-20156,0,0,3,1.0,0,0,0,0,normal,0
CH-20040,2,0,1,0.9692,2,0,2,0,normal,0
CH-20379,4,3,4,0.9385,1,2,4,3,mild_irregular,0
CH-20468,10,10,9,0.8462,3,4,7,7,frequent_unexcused_absence,1
CH-20403,7,3,8,0.8923,1,3,4,1,mild_irregular,0
CH-20216,1,0,3,0.9846,1,1,1,1,normal,0
CH-20279,4,1,2,0.9385,1,0,1,1,normal,0
CH-20434,13,10,2,0.8,3,1,9,8,frequent_unexcused_absence,1
CH-20430,13,9,5,0.8,6,4,8,10,frequent_unexcused_absence,1
CH-20337,4,1,0,0.9385,0,0,1,1,normal,0
CH-20236,3,0,1,0.9538,2,0,0,0,normal,0
CH-20207,4,0,2,0.9385,1,1,2,0,normal,0
CH-20212,1,1,0,0.9846,0,0,1,1,normal,0
CH-20295,4,1,0,0.9385,0,0,1,1,normal,0
CH-20457,15,12,10,0.7692,6,6,10,5,frequent_unexcused_absence,1
CH-20251,0,0,1,1.0,0,0,0,0,normal,0
CH-20488,15,9,4,0.7692,2,8,15,2,sudden_spike,1
CH-20486,10,10,0,0.8462,3,7,8,8,sudden_spike,1
CH-20303,1,1,2,0.9846,1,1,1,1,normal,0
CH-20350,6,3,3,0.9077,2,0,4,3,mild_irregular,0
CH-20269,4,0,3,0.9385,0,1,1,0,normal,0
CH-20201,1,0,2,0.9846,1,1,1,0,normal,0
CH-20161,3,0,3,0.9538,0,0,1,1,normal,0
CH-20043,3,0,3,0.9538,1,1,1,0,normal,0
CH-20217,3,1,0,0.9538,2,1,2,0,normal,0
CH-20401,7,3,8,0.8923,1,3,3,2,mild_irregular,0
CH-20190,0,0,1,1.0,0,0,0,0,normal,0
CH-20309,0,0,3,1.0,0,0,0,0,normal,0
CH-20259,0,0,3,1.0,0,0,0,0,normal,0
CH-20105,2,0,2,0.9692,2,1,2,0,normal,0
CH-20053,2,0,1,0.9692,1,0,0,1,normal,0
CH-20389,5,1,5,0.9231,3,3,4,2,mild_irregular,0
CH-20001,3,0,1,0.9538,2,0,2,0,normal,0
CH-20441,11,8,3,0.8308,4,3,5,7,frequent_unexcused_absence,1
CH-20482,14,6,1,0.7846,4,5,12,3,sudden_spike,1
CH-20049,2,1,1,0.9692,1,1,1,1,normal,0
CH-20419,5,1,6,0.9231,2,1,2,4,mild_irregular,0
CH-20080,4,0,2,0.9385,0,1,1,0,normal,0
CH-20205,3,1,2,0.9538,2,0,2,1,normal,0
CH-20034,1,0,1,0.9846,1,1,1,1,normal,0
CH-20263,3,1,1,0.9538,0,0,2,1,normal,0
CH-20427,8,2,7,0.8769,2,3,4,2,mild_irregular,0
CH-20366,5,3,6,0.9231,2,2,5,4,mild_irregular,0
CH-20091,2,0,0,0.9692,0,1,1,0,normal,0
CH-20339,0,0,3,1.0,0,0,0,0,normal,0
CH-20473,10,6,4,0.8462,2,6,7,5,frequent_unexcused_absence,1
CH-20052,0,0,3,1.0,0,0,0,0,normal,0
CH-20345,0,0,3,1.0,0,0,0,0,normal,0
CH-20264,3,0,0,0.9538,2,1,2,1,normal,0
CH-20241,4,0,3,0.9385,1,0,0,1,normal,0
CH-20013,4,0,0,0.9385,1,1,1,0,normal,0
